UID,whilecount,教師データ数,指定学生のデータ数,accuracy,precision_y,recall_y,f1_y,precision_n,recall_n,f1_n,featuresdict_sorted
30914025,9,536,99,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.020165832851717008; xUTurnCount: 0.034441338054956236; maxDDTime: 0.0353264209136871; thinkingTime: 0.048128783345667434; maxSpeed: 0.0554089780915382; yUTurnCount: 0.058687688769186515; averageSpeed: 0.06036298973146405; maxDDIntervalTime: 0.07147166142659885; maxStopTime: 0.07395447779679296; distance: 0.07462082657634389; time: 0.11557472781511235; answeringTime: 0.15857401239472554; totalDDIntervalTime: 0.19328226223220973
30914025,10,547,110,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.018620796966881417; xUTurnCount: 0.03355464640309712; maxDDTime: 0.03420883478480848; thinkingTime: 0.04705666991297045; yUTurnCount: 0.05585306916478031; maxSpeed: 0.05635384368589159; averageSpeed: 0.06510120295380525; maxDDIntervalTime: 0.0713791350436312; maxStopTime: 0.07172966923897152; distance: 0.07251470163955819; time: 0.11722296481211618; answeringTime: 0.1585453864303287; totalDDIntervalTime: 0.19785907896315966
30914025,11,558,121,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.018105971508663398; maxDDTime: 0.03409738039952179; xUTurnCount: 0.035279011354265075; thinkingTime: 0.04608630095104108; yUTurnCount: 0.05117848770851261; maxSpeed: 0.054942221836253816; averageSpeed: 0.06327970047428491; distance: 0.07240605674334633; maxDDIntervalTime: 0.07314074409027078; maxStopTime: 0.07934018558519731; time: 0.11994859054461232; answeringTime: 0.15527426439005393; totalDDIntervalTime: 0.1969210844139765
30914025,12,569,132,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.01704125885759718; maxDDTime: 0.03316223556357903; xUTurnCount: 0.03663953932590965; thinkingTime: 0.044534649296055134; maxSpeed: 0.051128887226080735; yUTurnCount: 0.05708193580719326; averageSpeed: 0.06873838515974744; distance: 0.07306074490633155; maxDDIntervalTime: 0.07334514877118546; maxStopTime: 0.07704810296809816; time: 0.1192082161022007; answeringTime: 0.14969895073559847; totalDDIntervalTime: 0.19931194528042329
30914025,13,580,143,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.013914485817987664; maxDDTime: 0.03284243378907821; xUTurnCount: 0.037146323113744974; thinkingTime: 0.04683388098547111; yUTurnCount: 0.05213356060189313; maxSpeed: 0.05219286677288432; distance: 0.07036119617463742; maxDDIntervalTime: 0.07099661664489035; averageSpeed: 0.0757875384725047; maxStopTime: 0.0768348134498239; time: 0.11680348269259551; answeringTime: 0.14587657153026262; totalDDIntervalTime: 0.20827622995422596
30914025,14,591,154,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.014440671676278707; maxDDTime: 0.033758617003590466; xUTurnCount: 0.03800410087722383; thinkingTime: 0.045038453602552694; maxSpeed: 0.04875942517744786; yUTurnCount: 0.0527225555777411; distance: 0.06634589403749538; maxDDIntervalTime: 0.0720605703033685; maxStopTime: 0.07600653810461731; averageSpeed: 0.08338542548840401; time: 0.11088225504557304; answeringTime: 0.1556034776829289; totalDDIntervalTime: 0.20299201542277814
30914025,15,602,165,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.013568414327077736; maxDDTime: 0.03372023432929368; xUTurnCount: 0.03393646422348874; thinkingTime: 0.04428472160683977; maxSpeed: 0.05105604704343108; yUTurnCount: 0.05626242337923847; distance: 0.06697390579432605; maxDDIntervalTime: 0.07179694027127885; maxStopTime: 0.07537602689371421; averageSpeed: 0.08428387388122537; time: 0.11111625798591836; answeringTime: 0.15064176766706855; totalDDIntervalTime: 0.206982922597099
30914025,16,613,176,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.014325150465040636; maxDDTime: 0.032617708404476434; xUTurnCount: 0.033191902467835065; thinkingTime: 0.04453183422187669; maxSpeed: 0.04899384828390945; yUTurnCount: 0.05660984810878681; distance: 0.06688087541518258; maxDDIntervalTime: 0.07274773139151308; maxStopTime: 0.07554060200843916; averageSpeed: 0.08430253085973653; time: 0.1087041539843398; answeringTime: 0.15253560201205146; totalDDIntervalTime: 0.20901821237681245
30914025,17,624,187,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.014907664269626295; xUTurnCount: 0.03297259495123759; maxDDTime: 0.03485002470154292; thinkingTime: 0.043597634316026104; maxSpeed: 0.04821862242614628; yUTurnCount: 0.053546775165628786; distance: 0.06381561233198242; maxDDIntervalTime: 0.07618547336603454; maxStopTime: 0.07967300623069862; averageSpeed: 0.0825030307754763; time: 0.10635201384828896; answeringTime: 0.15236071502034407; totalDDIntervalTime: 0.2110168325969671
30914025,18,635,198,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.015406864887363212; xUTurnCount: 0.03206756411524243; maxDDTime: 0.03438512255215488; thinkingTime: 0.04248641634820353; maxSpeed: 0.04875152525961481; yUTurnCount: 0.056113784487240324; distance: 0.059453293269893896; maxDDIntervalTime: 0.07459276963949936; maxStopTime: 0.07923446258548661; averageSpeed: 0.08740566906841654; time: 0.10411066119693498; answeringTime: 0.15018901302993823; totalDDIntervalTime: 0.21580285356001114
30914025,19,646,209,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.016172885172646045; xUTurnCount: 0.031586303569177854; maxDDTime: 0.034428710239348015; thinkingTime: 0.043166111084569275; maxSpeed: 0.04732552316374481; yUTurnCount: 0.05364642890414397; distance: 0.05942051430837433; maxDDIntervalTime: 0.07924905737789988; maxStopTime: 0.08146657215588146; averageSpeed: 0.08658712716879957; time: 0.10337286056875747; answeringTime: 0.14534932008611123; totalDDIntervalTime: 0.21822858620054608
30914025,20,657,220,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.017488643310859767; xUTurnCount: 0.027313182771437117; maxDDTime: 0.03062669430122804; thinkingTime: 0.042801933749991264; maxSpeed: 0.04610974569524282; yUTurnCount: 0.057917502196300416; distance: 0.0590520167136355; maxStopTime: 0.08117987876770134; maxDDIntervalTime: 0.08299826284158097; averageSpeed: 0.08616378757114322; time: 0.10760838386521489; answeringTime: 0.14414805100595765; totalDDIntervalTime: 0.21659191720970714
30914025,21,668,231,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.014788366315362528; xUTurnCount: 0.029124552552394618; maxDDTime: 0.03126088188218447; thinkingTime: 0.04321411835697823; maxSpeed: 0.04786946476271358; distance: 0.05525123415632153; yUTurnCount: 0.05887266640677177; averageSpeed: 0.08344452358327922; maxDDIntervalTime: 0.08357223912448901; maxStopTime: 0.08731398468975707; time: 0.11348624577253824; answeringTime: 0.1411974190835647; totalDDIntervalTime: 0.21060430331364513
30914025,22,679,242,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.017796331360924057; xUTurnCount: 0.027364007691453033; maxDDTime: 0.03404347246819779; thinkingTime: 0.04312925059823181; maxSpeed: 0.04437885941872536; distance: 0.052368897829572034; yUTurnCount: 0.059591912900431386; maxStopTime: 0.08180890071047248; maxDDIntervalTime: 0.08220342145893275; averageSpeed: 0.08420239487392346; time: 0.10918449076363877; answeringTime: 0.14200337347777656; totalDDIntervalTime: 0.22192468644772032
30914025,23,690,253,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.01756008465423119; xUTurnCount: 0.026668141556831886; maxDDTime: 0.03115685115647977; thinkingTime: 0.040681139086720934; maxSpeed: 0.042101708597910535; distance: 0.05178504076407881; yUTurnCount: 0.06709462653830095; averageSpeed: 0.08231326053646017; maxStopTime: 0.08605356615076883; maxDDIntervalTime: 0.08711801448287516; time: 0.10736884538051929; answeringTime: 0.1391147227412012; totalDDIntervalTime: 0.22098399835362123
